"ID" "joined"
128871532 2016-09-28
54230525 2016-06-03
116282571 2016-06-10
135618936 2015-10-28
172741854 2016-06-16
55605328 2015-08-27
89508167 2016-03-16
81558510 2015-10-05
154960108 2016-09-28
64369881 2016-07-26
90288452 2016-02-14
188440428 2016-08-22
117441270 2016-04-04
50878200 2016-05-15
83486862 2016-09-22
187353167 2016-04-20
197058561 2016-05-19
107787557 2016-06-09
151939375 2015-07-01
144221205 2016-03-24
64806496 2016-08-06
179417969 2016-08-15
68832733 2016-04-09
86848808 2015-08-17
73560592 2016-05-04
114360229 2016-04-14
51888044 2016-04-21
174370494 2016-05-08
81269233 2016-10-08
192526753 2015-08-21
52347382 2015-12-04
155055598 2015-10-20
106231613 2016-07-05
197079883 2016-09-21
177828363 2016-04-01
173546043 2016-09-26
54192057 2016-09-13
98618771 2015-10-02
134204000 2016-05-31
162925699 2016-05-26
128992900 2016-05-24
118541624 2015-06-18
130537524 2016-05-07
139281241 2016-05-16
54587965 2016-03-07
142607194 2015-06-11
159964259 2016-02-03
118680269 2016-05-08
117433546 2015-09-07
111018303 2016-06-25
193631557 2015-09-25
125147668 2016-05-21
88687121 2016-04-04
175213154 2015-06-14
52104791 2015-06-07
189208250 2016-02-24
107489033 2015-06-14
189520778 2016-10-08
170029258 2016-09-29
182658301 2015-06-15
117210214 2016-07-04
103846668 2016-08-10
145615290 2016-03-14
194106592 2015-07-05
140243496 2016-05-07
173853948 2015-11-22
68509592 2016-08-10
81109504 2015-08-26
91179888 2015-10-11
155795947 2016-02-16
75090489 2016-07-01
97958370 2016-01-26
112248310 2015-07-03
109162360 2015-07-12
104354747 2015-08-11
139375479 2015-07-01
196898178 2015-11-25
152001855 2016-05-20
111962314 2015-08-09
107826201 2016-10-03
70643700 2015-06-19
93559171 2016-10-07
84480519 2016-05-18
121139076 2016-02-12
65193931 2015-09-09
67473002 2015-07-21
118727660 2016-02-16
124276302 2016-07-24
138943075 2016-02-16
176776187 2016-06-14
143084395 2015-11-20
185601129 2015-06-29
70479845 2015-09-24
161763954 2016-06-22
127631141 2016-09-07
81356977 2016-02-01
198961037 2016-05-29
80506854 2016-09-30
152632046 2016-05-15
54857468 2016-09-29
126231534 2016-03-15
94810741 2016-04-21
